COD_ZonLoc,Geocodigo,OID_,COD_ZonL_1,COD_REGION,REGION,COD_PROVIN,PROVINCIA,CUT,COMUNA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,ID_Dis,ID_ZonLoc,ID_COM,ID_AREA,lat_comuna,lon_comuna
10101011001,10101011001,9245,10101011001,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,584,310,274,5,6,433,46,16,61,291,19,186,310,186,105,171,0,4,0,0,11,113,14,55,3,0,0,60,34,90,0,0,1,0,181,1,4,0,0,177,7,1,185,1,0,0,1,1,10101,1,-41.4889346963,-72.7955813241
10101011002,10101011002,9246,10101011002,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,2941,1428,1513,129,218,2031,377,35,557,1219,5,1030,1224,1067,938,194,0,59,8,0,20,161,62,624,150,5,24,177,58,727,2,0,60,1,964,6,41,11,0,777,173,71,1016,2,0,1,1,2,10101,1,-41.4889346963,-72.7955813241
10101021001,10101021001,9247,10101021001,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,3953,1962,1991,195,324,2763,511,68,803,1488,6,1314,1494,1341,1297,125,0,15,29,0,22,115,47,899,208,0,42,82,17,1139,2,1,60,10,1249,8,34,18,1,986,225,97,1304,3,2,1,2,1,10101,1,-41.4889346963,-72.7955813241
10101021002,10101021002,9248,10101021002,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,1107,547,560,14,38,739,218,53,128,441,25,334,466,343,298,121,0,12,0,0,10,80,32,194,27,0,1,77,9,246,0,0,2,0,328,1,3,0,0,300,29,3,334,0,0,0,2,2,10101,1,-41.4889346963,-72.7955813241
10101021003,10101021003,9249,10101021003,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,2294,1174,1120,81,93,1650,345,88,407,932,32,736,964,796,745,122,0,36,7,1,21,94,52,458,122,0,5,70,7,640,1,0,13,0,699,6,20,5,0,568,143,16,725,4,0,0,2,3,10101,1,-41.4889346963,-72.7955813241
10101021004,10101021004,9250,10101021004,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,3391,1675,1670,178,267,2290,499,113,703,1341,16,1089,1357,1145,1257,31,0,15,23,0,15,64,27,807,171,3,12,99,0,953,0,2,29,0,1043,3,30,5,0,854,189,36,1063,10,4,1,2,4,10101,1,-41.4889346963,-72.7955813241
10101021005,10101021005,9251,10101021005,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,2564,1252,1312,155,269,1826,232,54,433,943,10,821,953,827,825,78,0,1,35,0,4,130,58,521,95,1,15,171,14,622,0,0,12,0,773,7,20,13,0,664,125,23,760,3,0,55,2,5,10101,1,-41.4889346963,-72.7955813241
10101031001,10101031001,9252,10101031001,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,4530,2230,2282,202,314,3078,714,30,774,1712,7,1547,1719,1595,1606,52,0,24,9,0,21,64,53,1082,291,1,49,133,2,1312,2,1,82,6,1468,10,44,17,1,1112,307,116,1534,2,0,1,3,1,10101,1,-41.4889346963,-72.7955813241
10101031002,10101031002,9253,10101031002,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,4740,2390,2350,301,530,3368,326,30,933,1766,1,1555,1767,1566,1719,9,0,6,12,0,20,61,269,1045,139,2,33,115,5,1394,10,0,17,0,1424,29,73,12,1,1244,241,46,1544,0,0,1,3,2,10101,1,-41.4889346963,-72.7955813241
10101031003,10101031003,9254,10101031003,10,REGIÓN DE LOS LAGOS,101,LLANQUIHUE,10101,PUERTO MONTT,4107,2083,2024,313,525,2824,378,25,1135,1460,1,1285,1461,1302,1382,20,5,11,23,0,19,55,26,918,191,1,91,94,0,1119,2,0,65,0,1163,22,68,18,1,895,257,119,1272,1,0,0,3,3,10101,1,-41.4889346963,-72.7955813241
