,COD_REGION,REGION,COD_PROVIN,PROVINCIA,CUT,ID_COM,COMUNA,TOTAL_PERS,TOTAL_HOMB,TOTAL_MUJE,PERSONAS_0,PERSONAS_6,PERSONAS_1,PERSONAS_M,PERSONAS_E,PUEBLOS_IN,TOTAL_VIV_,TOTAL_VI_1,VIV_OCUPA_,TOTAL_VIVI,CANTIDAD_H,VIV_TIPO_C,VIV_TIPO_D,VIV_TIPO_T,VIV_TIPO_P,VIV_TIPO_M,VIV_TIPO_1,VIV_TIPO_O,VIV_PARED_,VIV_PARE_1,VIV_PARE_2,VIV_PARE_3,VIV_PARE_4,VIV_PARE_5,VIV_TECHO_,VIV_TECH_1,VIV_TECH_2,VIV_TECH_3,VIV_TECH_4,VIV_TECH_5,VIV_TECH_6,VIV_PISO_P,VIV_PISO_R,VIV_PISO_B,VIV_PISO_C,VIV_PISO_T,VIV_MATERI,VIV_MATE_1,VIV_MATE_2,VIV_AGUA_R,VIV_AGUA_P,VIV_AGUA_C,VIV_AGUA_1,lat_comuna,lon_comuna,color
0,1,REGIÃ“N DE TARAPACÃ,11,IQUIQUE,1101,1101,IQUIQUE,190406,94007,96079,15433,22608,131761,16841,26581,32425,66493,259,55775,66752,59990,38243,22466,20,4466,583,55,660,20644,24237,7236,2759,83,340,15450,17203,21041,651,43,584,181,50039,1119,2573,944,330,47004,6758,986,54729,30,462,27,-20.940615120799983,-70.04153835200005,#f632a3
1,1,REGIÃ“N DE TARAPACÃ,11,IQUIQUE,1107,1107,ALTO HOSPICIO,106298,53099,53138,9775,17017,71518,3857,11423,31255,32481,16,27816,32497,29050,25989,4125,12,435,1549,32,339,6067,15821,2780,2492,46,467,7391,7641,11354,316,18,667,186,21215,1443,2471,1409,967,19741,6006,1626,26228,61,1261,21,-20.189946452699996,-70.01096214380003,#f632a3
2,1,REGIÃ“N DE TARAPACÃ,14,TAMARUGAL,1401,1401,POZO ALMONTE,14893,8182,6587,890,1772,8667,848,1662,6404,8851,34,4051,8885,4155,7831,4,31,245,539,10,191,331,2317,797,441,79,72,929,112,2737,74,17,123,31,2720,480,389,257,170,2403,1298,298,3285,385,279,66,-20.76764844930001,-69.50423629910003,#1381c0
3,1,REGIÃ“N DE TARAPACÃ,14,TAMARUGAL,1402,1402,CAMIÃ‘A,1242,653,589,73,134,772,136,113,1067,1082,4,471,1086,477,822,10,12,13,213,1,11,24,252,75,83,28,1,80,6,367,4,1,3,1,246,58,47,92,21,192,245,20,349,10,3,92,-19.373449845900005,-69.5053391192,#1381c0
4,1,REGIÃ“N DE TARAPACÃ,14,TAMARUGAL,1403,1403,COLCHANE,1313,736,557,58,92,872,143,131,1097,2001,4,448,2005,464,808,2,1135,10,32,1,13,3,41,10,6,380,2,35,2,328,2,69,3,0,48,57,41,113,173,23,229,175,167,23,1,239,-19.353023473599997,-68.84421887620002,#1381c0
5,1,REGIÃ“N DE TARAPACÃ,14,TAMARUGAL,1404,1404,HUARA,2703,1451,1178,133,249,1662,266,356,1625,2845,8,925,2853,947,2250,3,61,50,442,0,39,107,261,256,205,59,33,200,12,608,20,9,62,8,438,161,99,104,119,327,424,161,542,85,64,228,-19.60258684459999,-69.66289650530004,#1381c0
6,1,REGIÃ“N DE TARAPACÃ,14,TAMARUGAL,1405,1405,PICA,9260,6473,2678,314,524,7323,559,979,3307,2680,23,1582,2703,1620,2406,5,11,34,166,1,57,153,666,392,202,143,21,363,41,1071,20,39,35,2,1089,185,154,97,37,876,602,76,1293,197,55,27,-20.478953196800003,-68.9122031293,#1381c0
7,2,REGIÃ“N DE ANTOFAGASTA,21,ANTOFAGASTA,2101,2101,ANTOFAGASTA,355374,177675,177256,24510,41962,250738,25812,33649,25797,110683,173,97257,110856,104128,79022,27825,29,707,2415,38,647,38200,48985,5081,3588,227,431,27999,30464,36228,655,17,699,134,86475,2993,4278,1432,816,83308,10630,1602,94507,144,1155,417,-24.276722395699977,-69.41008865569988,#1381c0
8,2,REGIÃ“N DE ANTOFAGASTA,21,ANTOFAGASTA,2102,2102,MEJILLONES,13297,7871,5392,825,1370,9845,597,1801,1166,3946,239,3020,4185,3400,3215,472,1,13,193,5,47,754,1605,398,209,1,41,745,598,1583,33,1,33,6,2491,188,174,106,29,2343,549,79,2666,3,322,2,-22.946578352899998,-70.2030457945,#1381c0
9,2,REGIÃ“N DE ANTOFAGASTA,21,ANTOFAGASTA,2103,2103,SIERRA GORDA,10158,8015,1128,84,188,7870,46,575,1378,527,42,343,569,358,466,0,0,21,36,1,3,34,123,107,58,9,9,48,5,285,1,0,1,0,284,29,9,15,5,231,93,15,331,0,9,1,-23.256414363999998,-69.3055670988,#1381c0
10,2,REGIÃ“N DE ANTOFAGASTA,21,ANTOFAGASTA,2104,2104,TALTAL,13127,7059,5704,819,1519,8104,1027,319,3258,4485,45,3432,4530,3564,4076,3,49,19,256,26,56,386,1625,902,443,13,51,694,72,2522,18,0,63,22,2715,180,196,170,130,2429,761,185,2821,2,566,6,-25.313303173899996,-69.86520402149996,#1381c0
11,2,REGIÃ“N DE ANTOFAGASTA,22,EL LOA,2201,2201,CALAMA,164819,85298,79313,11337,20252,115542,9389,17931,38581,56765,343,46162,57108,48293,49856,3676,136,1579,688,25,805,12842,26117,3044,1216,2111,420,15043,3783,25518,420,44,653,103,39852,1430,2810,907,458,36704,7165,1296,44725,54,726,131,-22.162118914900013,-68.6297098246,#1381c0
12,2,REGIÃ“N DE ANTOFAGASTA,22,EL LOA,2202,2202,OLLAGÃœE,321,164,111,20,32,196,21,83,215,427,12,94,439,102,173,0,0,6,234,1,13,0,52,24,5,13,0,20,0,67,0,4,3,0,71,13,3,4,3,57,31,6,83,0,10,0,-21.458240647099995,-68.31325798620001,#1381c0
13,2,REGIÃ“N DE ANTOFAGASTA,22,EL LOA,2203,2203,SAN PEDRO DE ATACAMA,10819,5979,4759,482,872,8041,585,1513,5479,3948,171,2836,4119,2982,3385,5,78,227,126,6,121,109,1366,340,131,844,32,423,13,2075,33,216,54,1,1686,547,264,200,114,1200,1429,174,2480,37,182,115,-23.401763181399996,-67.9093983783,#1381c0
