OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,T_HOM_R,T_MUJ_R,T_POB_R,T_HOM_U,T_MUJ_U,T_POB_U,T_HOM,T_MUJ,T_POB,T_VIV_U,T_VIV_R,T_VIV,Shape_Leng,Shape__Are,Shape__Len,SUPERFICIE,Densidad_,lat_comuna,lon_comuna,Escudo
1,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12102,LAGUNA BLANCA,191,83,274,0,0,0,191,83,274,0,285,285,3.44127449,9341688956.4,509762.682756,3496.80249023,0.0783573,-52.3290846055,-71.2403490256,https://upload.wikimedia.org/wikipedia/commons/0/0c/Comuna_de_Laguna_Blanca.svg
2,2,REGIÓN DE ANTOFAGASTA,22,EL LOA,2202,OLLAGÜE,207,114,321,0,0,0,207,114,321,0,439,439,2.63725027,3388897013.38,308997.730446,2920.85791016,0.10989922,-21.4582406471,-68.3132579862,https://upload.wikimedia.org/wikipedia/commons/6/63/Escudo_de_Ollag%C3%BCe.svg
3,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12303,TIMAUKEL,343,62,405,0,0,0,343,62,405,0,214,214,20.83090317,32044560332.7,2862313.3286,11018.5576172,0.03675617,-54.2016999018,-69.5343339111,https://upload.wikimedia.org/wikipedia/commons/d/d7/Comuna_de_Timaukel.svg
4,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11303,TORTEL,285,238,523,0,0,0,285,238,523,0,320,320,98.27734869,44929437798.4,12963181.1577,20106.4277344,0.02601158,-48.0279268652,-74.1672029134,https://upload.wikimedia.org/wikipedia/commons/1/12/Comuna_de_Tortel.svg
5,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12103,RÍO VERDE,522,95,617,0,0,0,522,95,617,0,231,231,47.99236353,25055775219.3,6348059.24102,9158.57910156,0.06736853,-52.8440072895,-72.4573600267,https://upload.wikimedia.org/wikipedia/commons/a/af/Comuna_de_R%C3%ADo_Verde.svg
6,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,113,CAPITÁN PRAT,11302,O'HIGGINS,374,251,625,0,0,0,374,251,625,0,363,363,5.77980902,17619864341.7,809630.583554,7773.66015625,0.08039971,-48.4832949503,-72.9090271193,https://upload.wikimedia.org/wikipedia/commons/b/b2/Comuna_de_O%27Higgins.svg
7,15,REGIÓN DE ARICA Y PARINACOTA,152,PARINACOTA,15202,GENERAL LAGOS,412,272,684,0,0,0,412,272,684,0,697,697,2.2648257999999997,2504779645.19,258714.908277,2257.39990234,0.30300346,-17.8292135024,-69.5707228083,https://upload.wikimedia.org/wikipedia/commons/7/7c/Escudo_de_General_Lagos.svg
8,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,121,MAGALLANES,12104,SAN GREGORIO,619,180,799,0,0,0,619,180,799,0,372,372,7.26160767,17994593050.9,952277.9641049999,6742.06689453,0.11850965,-52.317534666,-70.1959724678,https://upload.wikimedia.org/wikipedia/commons/f/fa/Escudo_de_San_Gregorio.png
9,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,111,COYHAIQUE,11102,LAGO VERDE,494,358,852,0,0,0,494,358,852,0,606,606,6.07598579,10678330699.1,779258.451849,5437.75732422,0.15668224,-44.4923446499,-71.8342823809,https://upload.wikimedia.org/wikipedia/commons/b/b2/Comuna_de_Lago_Verde.svg
11,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,123,TIERRA DEL FUEGO,12302,PRIMAVERA,930,228,1158,0,0,0,930,228,1158,0,472,472,5.52661471,11662605826.5,729898.197514,4284.45117188,0.27027965,-52.8180457345,-69.3296827829,https://upload.wikimedia.org/wikipedia/commons/f/f5/Comuna_de_Primavera.svg
12,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,124,ÚLTIMA ESPERANZA,12402,TORRES DEL PAINE,800,409,1209,0,0,0,800,409,1209,0,226,226,5.74225062,16607397275.6,789209.526971,6514.93408203,0.18557364,-51.0402982921,-72.8137769353,https://upload.wikimedia.org/wikipedia/commons/c/c3/Comuna_de_Torres_del_Paine.svg
13,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1402,CAMIÑA,657,593,1250,0,0,0,657,593,1250,0,1092,1092,2.11395854,2486391362.34,242555.63865900002,2199.68554688,0.56826305,-19.3734498459,-69.5053391192,https://upload.wikimedia.org/wikipedia/commons/3/30/Escudo_de_Cami%C3%B1a.svg
14,15,REGIÓN DE ARICA Y PARINACOTA,151,ARICA,15102,CAMARONES,726,529,1255,0,0,0,726,529,1255,0,948,948,3.66140297,4424111594.97,415486.324744,3934.91918945,0.31893921,-18.93858957,-69.7140563923,https://upload.wikimedia.org/wikipedia/commons/6/6d/Logomuni-01.png
15,10,REGIÓN DE LOS LAGOS,104,PALENA,10404,PALENA,350,286,636,536,539,1075,886,825,1711,569,433,1002,3.85637432,5077216797.39,499055.66478199995,2653.61474609,0.64478087,-43.6838894873,-71.9835777041,https://upload.wikimedia.org/wikipedia/commons/3/39/Bandera_de_Palena.svg
16,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1403,COLCHANE,995,733,1728,0,0,0,995,733,1728,0,2030,2030,3.0907749,4528236010.11,353257.69821999996,4007.41479492,0.43120068,-19.3530234736,-68.8442188762,https://upload.wikimedia.org/wikipedia/commons/e/e0/Escudo_de_Colchane.svg
17,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,112,AYSÉN,11203,GUAITECAS,82,56,138,1084,621,1705,1166,677,1843,612,78,690,10.00449532,1211369795.89,1279899.63877,631.37579346,2.91902232,-43.9310898949,-73.837636296,https://upload.wikimedia.org/wikipedia/commons/9/9b/Escudo_Guaitecas.png
18,12,REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA,122,ANTÁRTICA CHILENA,12201,CABO DE HORNOS,153,36,189,1042,832,1874,1195,868,2063,665,97,762,152.49507201,47830572065.9,20655966.6273,15811.216796899998,0.130477,-55.0293737697,-69.2676114487,https://upload.wikimedia.org/wikipedia/commons/d/d6/Escudo_de_Cabo_de_Hornos.svg
19,10,REGIÓN DE LOS LAGOS,104,PALENA,10402,FUTALEUFÚ,427,338,765,948,910,1858,1375,1248,2623,926,507,1433,2.35468126,2325351602.77,304755.904118,1236.54821777,2.1212275000000003,-43.1805554497,-72.0071718855,https://upload.wikimedia.org/wikipedia/commons/e/ef/Futaleufu.svg
20,11,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,114,GENERAL CARRERA,11402,RÍO IBÁÑEZ,1445,1221,2666,0,0,0,1445,1221,2666,0,1813,1813,4.79889045,12545169349.8,616637.394723,6001.54296875,0.44421911,-46.2997048861,-72.4875462731,https://upload.wikimedia.org/wikipedia/commons/5/5e/Escudo_de_Rio_Ib%C3%A1%C3%B1ez.svg
21,1,REGIÓN DE TARAPACÁ,14,TAMARUGAL,1404,HUARA,901,720,1621,600,509,1109,1501,1229,2730,543,2328,2871,6.20561639,11867326724.4,708182.802786,10471.1933594,0.26071528,-19.6025868446,-69.6628965053,https://upload.wikimedia.org/wikipedia/commons/e/e3/Escudo_de_Huara.svg
22,15,REGIÓN DE ARICA Y PARINACOTA,152,PARINACOTA,15201,PUTRE,361,252,613,1693,459,2152,2054,711,2765,521,1396,1917,3.81494496,6578891020.75,436546.35552,5884.54101563,0.46987525,-18.4275114297,-69.3101930709,https://upload.wikimedia.org/wikipedia/commons/3/32/Escudo_de_Putre.svg
